Length	Before	After
40	1729	0
50	1895	0
60	1151	0
70	785	0
80	625	0
90	1576	0
100	997	0
110	1006	0
120	1344	0
130	806	0
140	857	0
150	1253	0
160	851	0
170	1183	0
180	1034	0
190	1047	0
200	1157	0
210	1135	0
220	1242	0
230	1372	0
240	2176	0
250	1323	0
260	2557	0
270	1978	0
280	1281	0
290	1762	0
300	1496	0
310	1339	0
320	1899	0
330	2233	0
340	1442	0
350	1663	0
360	1745	0
370	1793	0
380	1997	0
390	1965	0
400	2326	27
410	2291	24
420	2954	29
430	3126	23
440	3348	9
450	3870	8
460	4354	21
470	4441	22
480	8803	473
490	126128	16537
500	18084	349
510	17415	1474
520	34495	3592
530	68696	6993
540	142158	18513
550	54297	7676
560	11387	771
570	3692	52
580	1923	18
590	1275	7
600	909	1
610	646	0
620	502	0
630	452	0
640	349	0
650	283	0
660	239	0
670	177	0
680	153	0
690	169	0
700	117	0
710	117	0
720	94	0
730	91	0
740	76	0
750	76	0
760	56	0
770	55	0
780	36	0
790	37	0
800	31	0
810	26	0
820	16	0
830	18	0
840	5	0
850	10	0
860	9	0
870	8	0
880	6	0
890	6	0
900	1	0
910	0	0
920	4	0
930	1	0
940	3	0
950	3	0
960	5	0
970	0	0
980	1	0
990	3	0
1000	1	0
1010	1	0
1020	1	0
1030	1	0
1040	0	0
1050	1	0
1060	1	0
1070	0	0
1080	0	0
1090	1	0
1100	0	0
1110	0	0
1120	0	0
1130	1	0
1140	0	0
1150	0	0
1160	0	0
1170	0	0
1180	0	0
1190	4	0
