"place","species","abundance"
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",10
"Beach","red",12
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",11
"Beach","red",12
"Beach","red",9
"Beach","red",12
"Beach","red",8
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",11
"Beach","red",10
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",11
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",10
"Beach","red",9
"Beach","red",11
"Beach","red",10
"Beach","red",11
"Beach","red",8
"Beach","red",8
"Beach","red",11
"Beach","red",10
"Beach","red",8
"Beach","red",8
"Beach","red",11
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",9
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",8
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",11
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",10
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","red",9
"Beach","red",10
"Beach","red",8
"Beach","green",10
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",13
"Beach","green",10
"Beach","green",10
"Beach","green",11
"Beach","green",10
"Beach","green",13
"Beach","green",10
"Beach","green",11
"Beach","green",14
"Beach","green",13
"Beach","green",11
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",14
"Beach","green",12
"Beach","green",11
"Beach","green",13
"Beach","green",13
"Beach","green",13
"Beach","green",13
"Beach","green",11
"Beach","green",11
"Beach","green",13
"Beach","green",12
"Beach","green",10
"Beach","green",14
"Beach","green",13
"Beach","green",13
"Beach","green",13
"Beach","green",11
"Beach","green",12
"Beach","green",13
"Beach","green",14
"Beach","green",10
"Beach","green",10
"Beach","green",11
"Beach","green",11
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",11
"Beach","green",11
"Beach","green",11
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",13
"Beach","green",12
"Beach","green",12
"Beach","green",12
"Beach","green",11
"Beach","green",12
"Beach","green",12
"Beach","green",10
"Beach","green",10
"Beach","green",12
