	Green	Pink	Brown	S1	S2
denovo5394	1	0	0	0	0
denovo5395	0	1	0	0	0
denovo11290	0	0	0	1	0
denovo15141	0	0	0	2	0
denovo12511	0	0	0	0	1
denovo12510	0	1	0	0	0
denovo12513	0	6	62	0	0
denovo12512	1	0	0	0	0
denovo12515	0	0	1	0	0
denovo12514	0	2	1	0	0
denovo12517	0	0	1	0	0
denovo12516	1	0	0	0	0
denovo12519	0	1	0	0	0
denovo12518	0	0	0	1	0
denovo23160	0	2	4	5	2
denovo23161	0	0	0	1	0
denovo23162	0	0	1	0	0
denovo23163	0	0	1	0	0
denovo23164	2	0	0	0	0
denovo11295	0	0	0	1	0
denovo23166	1	0	0	0	0
denovo23167	0	0	0	1	0
denovo23168	0	0	0	1	0
denovo23169	0	1	0	0	0
denovo15989	0	2	0	0	0
denovo15988	0	0	0	1	0
denovo15987	1	0	0	0	0
denovo15986	0	1	0	0	0
denovo15985	0	1	1	0	0
denovo15984	0	0	0	1	0
denovo15983	0	2	0	0	0
denovo15982	0	3	1	0	0
denovo15981	0	2	0	0	0
denovo15980	1	0	0	0	0
denovo1772	0	0	0	1	0
denovo1773	0	0	1	0	0
denovo1770	0	1	0	0	0
denovo1771	0	0	0	1	0
denovo1776	0	1	0	0	0
denovo1777	1	0	0	0	0
denovo1774	0	0	1	0	0
denovo1775	0	0	1	0	0
denovo1778	0	0	0	1	0
denovo1779	0	0	1	0	0
denovo11299	0	1	0	0	0
denovo16988	0	0	1	0	0
denovo16989	0	0	0	1	0
denovo16986	0	0	0	1	0
denovo16987	0	0	1	0	0
denovo16984	0	0	0	1	0
denovo16985	1	0	0	0	0
denovo16982	0	0	0	1	0
denovo16983	0	0	0	1	1
denovo16980	0	1	0	0	0
denovo16981	0	0	0	1	0
denovo8447	0	19	92	291	273
denovo8446	0	1	0	0	0
denovo8445	0	0	0	1	0
denovo8444	0	0	0	1	0
denovo8443	1	0	0	0	0
denovo8442	0	6	4	3	9
denovo8441	0	0	0	1	0
denovo8440	0	0	1	0	0
denovo23789	0	0	1	0	0
denovo8449	0	1	0	0	0
denovo8448	0	1	0	0	0
denovo24309	1	0	0	0	0
denovo24308	0	0	1	0	0
denovo24301	0	0	1	0	0
denovo24300	1	0	0	0	0
denovo24303	0	0	1	0	1
denovo24302	0	0	0	1	0
denovo24305	1	0	0	0	0
denovo24304	0	0	0	1	0
denovo24307	0	0	1	1	0
denovo24306	0	0	1	0	0
denovo20538	0	1	0	0	0
denovo20539	1	0	0	0	0
denovo20532	0	0	0	1	0
denovo20533	0	0	1	0	0
denovo20530	0	2	0	0	0
denovo20531	1	0	0	0	0
denovo20536	0	1	0	0	0
denovo20537	0	1	0	0	0
denovo20534	0	0	1	0	0
denovo20535	0	1	0	0	0
denovo10306	0	1	0	0	0
denovo10307	0	10	13	1	0
